2022-09-09 14:45:03.951 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.weiho.scaffold.system.mapper.AvatarMapperTest], using SpringBootContextLoader
2022-09-09 14:45:13.632 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@66d69cd2, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@32e5fb4c, org.springframework.security.web.context.SecurityContextPersistenceFilter@9a37591, org.springframework.security.web.header.HeaderWriterFilter@1e7113f8, org.springframework.security.web.authentication.logout.LogoutFilter@375ff309, org.springframework.web.filter.CorsFilter@5e68be2, com.weiho.scaffold.system.security.token.filter.TokenFilter@11a7840f, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@361d8567, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1a4ae53d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1d3e5a05, org.springframework.security.web.session.SessionManagementFilter@7741507c, org.springframework.security.web.access.ExceptionTranslationFilter@13866865, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@74797b90]
2022-09-09 14:45:13.958 [main] INFO  com.weiho.scaffold.redis.config.RedisConfig - Redis -> [Redis缓存错误处理程序初始化]
2022-09-09 14:45:14.763 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-auto-1"]
2022-09-09 14:45:14.792 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-09-09 14:45:14.792 [main] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-09-09 14:45:14.794 [main] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2022-09-09 14:45:14.795 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 28132 (http) with context path ''
2022-09-09 14:45:15.214 [main] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [192.168.137.128:5672]
2022-09-09 14:45:15.294 [main] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#4a6ef712:0/SimpleConnection@7c919e1e [delegate=amqp://admin@192.168.137.128:5672/, localPort= 28138]
2022-09-09 14:45:15.362 [main] INFO  com.weiho.scaffold.system.mapper.AvatarMapperTest - Started AvatarMapperTest in 11.04 seconds (JVM running for 12.464)
2022-09-09 14:45:15.847 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-2] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Waiting for workers to finish.
2022-09-09 14:45:16.352 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-2] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Successfully waited for workers to finish.
2022-09-09 14:45:16.564 [SpringApplicationShutdownHook] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Shutdown ignored - container is already stopped
2022-09-09 14:45:16.565 [SpringApplicationShutdownHook] INFO  c.w.s.common.util.spring.SpringContextHolder - SpringContextHolder -> [清除SpringContextHolder中的ApplicationContext:org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@9cd25ff, started on Fri Sep 09 14:45:04 GMT+08:00 2022]
2022-09-09 14:45:16.596 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2022-09-09 14:45:16.605 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
